id,f_name,l_name,occupation,:LABEL,origin
p321,Matcho,Paulovich; Paulouich; Pavlovich; Paochovich ,,Person,
p322,Matcho,Tomanovich; di Tomcho  ,,Person,
p323,Matio; Matcho,di Polo,,Person,
p324,Matio,,,Person,
p325,Matio,di Ribiça; Ribiza,,Person,
p326,Mato Poue,di Chadena,,Person,
p327,Matulin,,,Person,
p328,Matulin,Mladinovich; Mladienovich; Mladenovich,,Person,
p329,Matulin,Pripçich,,Person,
p330,Goan,di Mençe,,Person,
p331,Marino; Maroie,di Ratcho; di Mençe,,Person,
p332,Maroie,di Mençe,,Person,
p333,Nichola,di Mençe,,Person,
p334,Nicholo,di B.; di Mençe,,Person,
p335,Menegoço,Naputitano,,Person,Neaples
p336,Michil; Michoç,di Marino Çiçer,,Person,
p337,Michil,di Gouanini; Govanino; Gouanino; Gouanin,,Person,Prato
p338,Michil,Lorlando,,Person,Catalonia
p339,Michil,Pribilovich,,Person,
p341,Micho,,,Person,
p342,"Michoç, Michoie",Hostoich,,Person,
p343,Michoç,,,Person,
p344,Michoç,Braiachovich,,Person,
p345,Michoç,di Gupana,,Person,
p346,Michoç,Vitchovich,,Person,
p347,Michoie; Michoç,Luchsich,,Person,
p348,Michoie,,,Person,
p349,Michoie,Nadal,,Person,
p350,Miglach,,,Person,
p351,Milatcho,,,Person,
p352,Milatcho,,frar di Miochan,Person,
p353,Mileta,,,Person,
p354,Mileta,Chranchovich,,Person,
p355,Milich,,,Person,
p356,Milovaç,,,Person,
p357,Mirosau; Mirosav,,,Person,
p358,Miserchovich,,,Person,
p359,Murvich,,,Person,
p360,Nadal,,,Person,
p361,Nadal,di Bon,,Person,
p362,Nadal,di Nale,,Person,
p363,Nale,,,Person,
p364,Naputitan; Napulitano,,,Person,
p365,Nichola; Nicholo,Bogdanovich,,Person,Skadar
p366,Nichola; Nicholo,di Giulin,,Person,
p367,Nichola; Nicholo,di Milosau,,Person,
p368,Nichola; Nicholo,di Suiesda; di Suisda; di Sviesda; di Svida,,Person,
p369,Nichola; Nicholo,Pitiçich; Prisçich,,Person,
p370,Nichola; Nicholo; Nichsa,di Turtcho; di Tuertcho; Glauich; Glavich,,Person,
p371,Nichola; Nichsa,d_Antiuari,,Person,Bar
p372,Nichola; Nichsa,di Bogauaç; di Bogauçe; di Bogauaç; Bogauçich,,Person,
p373,Nichola; Nichsa,di Radin,,Person,
p374,Nichola,,,Person,
p375,Nichola,"Bratosalich,  Bratosau",,Person,Ston
p376,Nichola,Chudeglinovich; Chudiglinovich,,Person,
p377,Nichola,d_Antonio,,Person,
p378,Nichola,di Luchari,,Person,
p379,Nichola,di Milse; di Milsa,,Person,
p380,Nichola,di Radulin,,Person,
p381,Nichola,di Vlatcho; Vlatchovich,,Person,
p382,Nichola,di Zoan Martin,fator del Maroie,Person,
p383,Nichola,Luchsich,,Person,
p384,Nichola,,fante,Person,
p385,Nichola,,fator,Person,
p386,Nicholo; Nicholao,d_Antonio,,Person,Fermo
p387,Nicholo; Nicholao,di Bortolomeo,,Person,Prato
p388,Nicholo; Nicholao,di Goan; di Gon; di Gin,,Person,
p389,Nicholo; Nicholao,Çopi,,Person,
p390,Nicholo,,,Person,
p391,Nicholo,di Biçia,,Person,
p392,Nicholo,di Bon,,Person,
p393,Nicholo,di M. Antonio,,Person,
p394,Nicholo,di Milosau,,Person,
p395,Nicholo,di miser Vani,,Person,Fermo
p396,Nicholo,di Nichsa Luchsich,,Person,
p397,Nicholo,di Raduti,,Person,
p398,Nicholo,Grioni; Grion,,Person,
p399,Nicholo,Marino di Nale,,Person,
p400,Nicholo,Pisani; Pisan,,Person,Pisa
p401,Nicholo,,fator,Person,
p402,Nicholo,,tentor,Person,
p403,Nichsa; Nicholo,Luchsich,,Person,
p404,Nichsa,,,Person,
p405,Nichsa,Bigorovich; Bigorouich; Bichorovich; Bogorovich,,Person,
p406,Nichsa,Bogdanovich,,Person,
p407,Nichsa,Chisiliçsich,,Person,
p408,Nichsa,Debegla,,Person,
p409,Nichsa,Milosalich deto Prisçsich,,Person,
p410,Nichsa,Tudrovich,,Person,
p411,Nichsa,Vlatchovich; di Vlatcho,,Person,
p412,Nouach; Novach,Chachich,,Person,
p413,Nouach,,frar di Milut,Person,
p414,Ogoçon,,,Person,
p415,Pago,çinich,,Person,
p416,Gorgi,di Palmota,,Person,
p417,Paocho,,,Person,
p418,Paocho,Çiçich; Çiçnich; Çizinich,,Person,
p419,Paocho,"di Gupana,  di Çupana",,Person,
p420,Paocho; Polo,di Vasigl,,Person,
p421,Paocho,Radogostich,,Person,
p422,Paschoie,,,Person,
p423,Paschoie,,,Person,
p424,Paschoie,,,Person,
p425,Paschoie,,,Person,
p426,Paschoie; Pasquiiç; Pasquaie; Pasqual,Bogulinovich,,Person,
p427,Paschoie,,,Person,
p428,Paschoie,di Martolo,,Person,
p429,Paschoie,Marotich,,Person,
p430,Paschoie,Radanovich; Radanouich,,Person,
p431,Paschoie; Pasqual,di Lucha,,Person,
p432,Paschoie; Pasqual,di Radich,,Person,
p433,Pasqual,,,Person,
p434,Paual,,,Person,
p435,Paual,Vitchovich,,Person,
p436,Peroçi,dela Luna,,Person,
p437,Petar,,,Person,
p438,Petar,Bratosalich; Bratosaglich,,Person,
p439,Petcho,,genero di Simcho,Person,
p440,Petroie,,,Person,
p441,Petroie,Bogulinovich,,Person,
p442,Petroie,Hobradovich,,Person,
p443,Petrovich,,,Person,Catalonia
p444,Piercho; Piero,,,Person,
p445,Piero,Boso Chasteglon; Boxo; Chasteglon,,Person,Catalonia
p446,Piero,,,Person,Catalonia
p447,Piero,Gauigl; Gauagl; Gauil; Gavil; Çevagl; Sauigl; Savila,,Person,
p448,Piero,Maurin; Maurino,,Person,Catalonia
p449,Piero,Pantela,,Person,
p450,Pircho,,,Person,
p451,Pircho,di Tanus,,Person,
p452,Pircho,Goisich; Gosich,,Person,
p453,Pisani; Pisan,,,Person,
p454,Pobriganin,,,Person,
p455,Gauge; Gauçe,di Poça; di Poçe,,Person,
p456,Nicholo,di Poça; di Poçe,,Person,
p457,Polo,,,Person,
p458,Polo,d_Antonio,,Person,
p459,Polo,di Butcho,,Person,
p460,Polo,di M. Piero di Urbino,,Person,
p461,Polo,di Michil di Urbino,,Person,
p462,Polo,di Piero di Urbino,,Person,
p463,Polo,,spiçial; spiçiar,Person,
p464,Ponos,,,Person,
p465,Pribisau; Pribusa,,,Person,
p466,Pribisau,di Radulin; Radugl,,Person,
p467,Pripcho,,,Person,
p468,PripogIci; PribogIci,,,Person,
p469,Priuli,,,Person,
p470,Iachob,di Prodanelo,,Person,
p471,Piero,di Prodanelo; di Prodanel,,Person,
p472,Rabati,,,Person,
p473,Rada,,"moier di Miglchoua, Miglchova, Miglhoua, Miglcho, Miglacho; bastase",Person,
p474,Radaç,,,Person,
p475,Radaç,Subaç,,Person,
p476,Radan,,,Person,
p477,Radasin,,,Person,
p478,Radilo; Ratcho,Striesevich,,Person,
p479,Radina,,,Person,
p480,Radisa,,,Person,
p481,Radisa,Martinovich,,Person,
p482,Radisa,Pobrigani; Pobriganin,,Person,
p483,Radisa,Stiepchovich; Stipchovich,,Person,
p484,Radivoi,,,Person,
p485,Radivoi,Plagnanin,,Person,
p486,Radogna,,,Person,
p487,Radogna,Smochua; Smochua,,Person,
p488,Radogna,Turdoievich,,Person,Goražde
p489,Radogna,,frar di Ratcho,Person,
p490,Radoie,,,Person,
p491,Radoie,Milachovich; Milenchovich,,Person,
p492,Rados,,,Person,
p493,Radosau; Radosa,Smilovich,,Person,
p494,Radosau; Radosau,,horese,Person,
p495,Radosau,,,Person,
p496,Radosau,Bogdanovich,,Person,
p497,Radosau,di Tuçrcin; Turçinovich,,Person,
p498,Radosau,Pribilovich; Priboevich,,Person,
p499,Radosau,Prisos,,Person,
p500,Radosau,Utiesenovich; di Utiesen,,Person,
p501,Radosau,,fante di Boicho,Person,
p502,Radota,Hobradovich,,Person,
p503,Radouan; Radovan,,,Person,
p504,Radouan,Bogosalich; Bogossalich,,Person,
p505,Radovan,Bogmilov; Bogmilovich,,Person,
p506,Dimitri,Ragnina,,Person,
p507,Ratcho,,,Person,
p508,Ratcho,Bogosalich; di Bogosau,,Person,
p509,Ratcho,Cholendich,,Person,
p510,Ratcho,Cholendich di Mençe,,Person,
p511,Ratcho,di Nadal; Božičković,,Person,
p512,Ratcho,Dobrasirich,,Person,
p513,Ratcho,Iusçich,,Person,
p514,Ratcho,Martinovich,,Person,
p515,Ratcho,Piçurcho,,Person,
p517,Ratcho,,maistro; çimador,Person,
p518,Benedeto di M.,di Resti,,Person,
p519,Benedeto,di Resti,,Person,
p520,M. di Michil,di Resti,,Person,
p521,Marino,di Resti,,Person,
p522,Nichola,di Resti,,Person,
p523,Nichola di M.,di Resti,,Person,
p524,Nichola di Michil,di Resti,,Person,
p525,Ruperto; Ruberto,Aldobrandi; Alibrandi; Alinbrandi,,Person,
p526,Ruberto,,,Person,
p527,Ruberto,del Bon,,Person,
p528,Ruscho,,,Person,
p529,Ruscho,Bogosevich; Bogosavich,,Person,
p530,Ruscho,Boschovich,,Person,
p531,Ruscho,di Radosau,,Person,
p532,Ruscho,di Ratcho; Piçurcho; Piçurchovich; Piçurovich,,Person,
p533,Ruscho,Nicholich,,Person,
p534,Ruscho,Radogostich,,Person,
p535,Ruscho,Radosalich,,Person,
p536,Ruscho,Sainoga,,Person,
p537,Ruscho,Stiepchovich,,Person,
p538,Ruscho,,chonpagno di Mileta Chranchovich,Person,
p539,Santi,,,Person,
p540,Santi,Ardovini,fradel di ser Francescho Ardovini di Pesaro,Person,
p541,Nicholo,di Saracha,,Person,
p542,Sigismundo,,,Person,
p543,Simcho,Bogauçich,,Person,
p544,Simon,,,Person,
p545,Biasio,di Sorgo,,Person,
p546,Biasio di C.,di Sorgo,,Person,
p547,Biasio di Lorenço,di Sorgo,,Person,
p548,Daniel,di Sorgo,,Person,
p549,Dragoie,di Sorgo,,Person,
p550,Goan,di Sorgo,,Person,
p551,Goan di. F.,di Sorgo,,Person,
p552,Iachomo,di Sorgo,,Person,
p553,Lorenço,di Sorgo,,Person,
p554,Marin,di Sorgo,,Person,
p555,Tomado; Tomaso,di Sorgo,,Person,
p556,Stanisa,,,Person,
p557,Stanisa,,nevode di Paual Martinovich,Person,
p558,Stano,,,Person,
p559,Stano,Ilich; di Ilia,,Person,
p560,Stefano,,,Person,
p561,Stefano,di Nale,,Person,
p562,Stefano M.,di Ganin,,Person,
p563,Stefano,,chançilier; changalir,Person,Kotor
p564,Stiepan; Stiepcho,Dachoievich; Duchoievich,,Person,
p565,Stiepan; Stipan,d_Alesio deto Chasela,,Person,
p566,Stiepan,,,Person,
p567,Stiepan,,fante di Vochaç Mura,Person,
p568,Stiepan,,horese,Person,
p569,Stiepcho; Stepcho; Stipcho,di Vlachan; Viachanovich,,Person,
p570,Stiepcho; Stipcho,Piuchovich,,Person,
p571,Stiepcho,,,Person,
p572,Stiepcho,Hostoich,,Person,
p573,Stiepcho,Murvich,,Person,
p574,Stiepsa,,,Person,
p575,Stiepsa,Tributinovich,,Person,Skadar
p576,Stoldo,da Rabati,spiçiar,Person,
p577,Toma,,,Person,
p578,Toma,,frar di Tomas,Person,
p579,Toma; Tomado,di Bon deto Dobrich; di Bon; deto Dobrich,,Person,
p581,Tomado,,,Person,
p582,Tomas; Tomaso,,,Person,
p583,Tomaso,d_Alberti; Alberto,,Person,
p584,Tomcho; Toncho,Iachoievich; Iachobovich,,Person,
p585,Tomcho,,,Person,
p586,Tomcho,,fante di ser Nichola di Resti,Person,
p587,Trigoustani,,,Person,
p588,Trinci,,,Person,Ankona
p589,Tripcho,,,Person,
p590,Tripcho,di Bon,,Person,
p591,Turtcho,,,Person,
p592,Turtcho,Glauich,,Person,
p593,Turtcho,,piliçer,Person,
p594,Valentin,,,Person,
p595,Vitcho,Vlatchovich,,Person,
p596,Vitomir,,,Person,
p597,Vlachoie,,,Person,
p598,Vlachoie,Gugnevich,,Person,
p599,Vlachota,,,Person,
p600,Vlachota,Hobradovich,,Person,
p601,Vlachota,Hoserchovich; Hosirchovich,,Person,
p602,Vlachota,Hostchovich,,Person,
p603,Vlachota,Petrovich,,Person,
p604,Vlachusa,,,Person,
p605,Vlachusa,Chaliman,,Person,
p606,Vlatcho,,,Person,
p607,Vochaç,Mura,,Person,
p608,Vochas,Hostoich,,Person,Drijeva
p609,Vochasin,,,Person,
p610,Vochoie,,,Person,
p611,Vochosau,,,Person,
p612,Vochota,,,Person,
p613,Vochota,,fante di Vochaç,Person,
p614,Andrea; Andre,di Volço,,Person,
